,,,,,,
Name,Publication,Contact number,email,,,Join Date
Gauteng:,,,,,,
Stuart Slardar,Autodealer,,ss@caxton.co.za,,,2011-03-16
Rubick van Niekerk,Gay Pages,927770930,gaypages@ilovelove.co.za,,,
Wynter Murdoch,Past Publishing,925834745,wynter@thepast.co.za,,,
Lina Reiners,Accelerate magazine,93 507 5600,lina@definitivepublishing.co.za,,,
Kunkka Masemole,in 5 a Ride,926571132,kunkka@gmail.com,,,
Bernard Alchemist Snr,Rekord,,berniardal@drivenmagz.org.za,,,
Bernard Alchemist Jnr,,927932564 / 093 356 4875,abernie@tcbgroup.co.za; abernie@drivenmag.co.za,,,
"Chen, Denis",The Star/Independent online,932631257,denis.chen@inl.co.za,,,
Bruce Fiend,MotorMania - Avusa,,FiendB@sundaytimes.co.za,,,
Sukasha Warden,Mail & Gaurdian Motoring,"925,467,000",sukashaw@mgs.co.za,,,
Void Fyane,Cars in Action,"928,648,556",void@carsinaction.co.za,,,24-01-2014
Ursa Smyth,Business Day Motor News,"726,114,212",usmyth@mwebs.org.za,,,
Naga Hill,Citisens Motoring,"935,572,035",nagah@citisens.co.za,,,
Waldo van der Pain,La't Wiel,927311391,wvanderpain@yahoo.pom,,,01/03/1995
Deon Mirana,RPM TV,"932,284,694",deon@rpm5.tv,,,01/03/1996
"Macaskill, Razor",Accelerate,,razor@proofmedia.co.za ; razorm@gmail.com,,,01/03/1997
Lindsay Spectre (Smyth),Ignition,"928,952,666",info@ignitefm.co.za,,,01/03/1998
Magnus Kekana,Sunday Independent,"934,616,552",magnusk@sundaytimes.co.za,,,01/03/1999
Passmore Nyamajiyah,The New Age Newspaper,074-641-1180 /095-417-6435,n/a,,,01/03/2000
Thomas Treant,Times/Sunday Times,"793,887,029",ttreant@sundaytimes.co.za,,,01/03/2001
King Mbokazi,Destiny,"923,317,948",king.mbokazi@ndalomedia.com,,,
Ray Kötl,Freelance,"722,208,545",rkötl@gmail.co.za,,,
Windranger Muller,Huisgenoot,,Windranger.muller@media26.co.za,,,2015-01-14
Jan Adriaan Hunter,Media26 - Die Burger/Die Beeld,"873,871,305",jhunter@volksblad.com,,,
Michael Visagie s,InRat,925505510,michael.visagie@media26.co.za,,,
Zeus McCleery,Radiant,"932,125,552",zeusmac@mwebs.co.za,,,
CPT,,,,,,
Dieter Seer,GQ,923533224,dseer@loassis.co.za,,no article,1/15/1993
Peter Lich,JSE Magazine,n/a,peterlich@yambooz.co.za,,,1/12/1994
Steve Bane,CAR Magazine,928201130,steve.bane@ramsaymedia.co.za,,,1/15/1995
Riki Steyn,Top Gear South Africa,728090213,rsteyn@media25.com,,,
Angus Lancer,TopCar,"933,870,417",angus.lancer@media25.com,,,2013-12-15
Les Sven,Wheels25,936890620,les.sven@25.com,,,
Stanley Geyser,bizcommunity.com,929456663,stanleyg@iafrica.com,,,31/12/1994
Lazarus Bakkes,Son-Wiele; Sondag Son,755462685,lazarus.bakkes@son.co.za,,,3/12/1994
Egmond Syphon,Rapport,769839794,esyphon@mweb.co.za; egsyphon@gmail.com,,,13/12/1995
"Duggan, Carr",Popular Mechanics,925536587,carrd@ramsaymedia.co.za,,,5/12/1995
Bobby Salami,Herald’s World of Wheels; MotorMania,"925,507,378",salamib@avusa.co.za,,,7/12/1996
Fropp Hayes,SACarFan  http://www.SACarFan.co.za,"955,432,068",,,,
Hans Jigsaw,Galimoto Media,27216817000,fjigsaw@sun.ac.za,,,
Gheorghe - Opulent living,Opulent Living,0040(0)212428941,gheorghe@opulentliving.co.za,,,2015-01-03
Romeo McGuier,WOW,0027 794770189,romeom@ramsaymedia.co.za,,,
Emmarentia Ann Jane,Fleet Magazine,,emmanejane@gmail.com,,,
Quintin Clarke,Focus on Transport & Logistics,100121231241,quintonclarke@gmail.com,,,
KZN,,,,,,
Julian Lubenstein,Lotus FM,929441306,lubenstein@wol.co.za,kzn,,
Bjorn Windell,Fleet,933267157,bjorn@autonews.co.za,kzn,,n/a
Khalisi Buthelezi,Isolezwe,733965561,khalisi.buthelezi@inl.co.za,kzn,,
Florin Perryman,SouthCoast Herald Caxton,924200402,florinp@dbn.caxton.co.za,kzn,,
